"Last updated: September 2, 2026",,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,Aug 11 - Sign within 5 blocks after the v28.0.0-rc0 upgrade,,Provider uptime - must be >80% to qualify for this period
🐹 Quokka Stake,4,,2,1,1,,100%
01node,4,,2,1,1,,100%
0base.vc,4,,2,1,1,,100%
Bit Cat🐱,4,,2,1,1,,100%
bitszn | valopers.com,4,,2,1,1,,100%
BlockHunters,0,,0,0,0,,0%
Blockpower,0,,0,0,0,,0%
blockscape,1,,0,1,0,,100%
BonyNode💚,1,,0,1,0,,39%
Bro_n_Bro,4,,2,1,1,,100%
Chiter in Cosmos ⚛,4,,2,1,1,,100%
Citadel.one,0,,0,0,0,,0%
Citizen Web3,4,,2,1,1,,99%
Coinage x DAIC,4,,2,1,1,,99%
Compass,3,,2,0,1,,12%
Cosmic Validator,4,,2,1,1,,100%
Cosmos Spaces,4,,2,1,1,,100%
CosmosAf,0,,0,0,0,,0%
cosmosrescue,4,,2,1,1,,99%
Cosmostation,0,,0,0,0,,0%
Crosnest,1,,0,1,0,,100%
Crouton Digital,4,,2,1,1,,100%
CrowdControl,4,,2,1,1,,100%
CryptoCrew Validators,4,,2,1,1,,100%
Cumulo,4,,2,1,1,,100%
Cypher Core,4,,2,1,1,,99%
Cypher Networks,0,,0,0,0,,0%
DELIGHT,4,,2,1,1,,100%
dForce,0,,0,0,0,,0%
DragonStake,0,,0,0,0,,0%
DSRV,4,,2,1,1,,100%
DURE Nodes,4,,2,1,1,,87%
Easy 2 Stake,1,,0,1,0,,100%
ECO Stake 🌱,4,,2,1,1,,99%
Endorphine Stake,4,,2,1,1,,100%
Enigma,0,,0,0,0,,0%
EthicalNode,4,,2,1,1,,100%
Everstake,4,,2,1,1,,100%
Expedition,4,,2,1,1,,100%
GATA HUB,4,,2,1,1,,100%
Golden Ratio Staking,4,,2,1,1,,100%
HashQuark,0,,0,0,0,,0%
Helios Stake,4,,2,1,1,,100%
High Stakes,4,,2,1,1,,100%
Huginn,4,,2,1,1,,100%
IcyCRO.org,1,,0,1,0,,100%
Inter Blockchain Services,4,,2,1,1,,100%
Interstellar Lounge,4,,2,1,1,,100%
Irisnet,4,,2,1,1,,100%
ITRocket,4,,2,1,1,,100%
JohnWiard,0,,0,0,0,,0%
KalpaTech,3,,2,0,1,,96%
Keplr,4,,2,1,1,,100%
kjnodes.com 🦄,1,,0,1,0,,100%
Kleomedes,4,,2,1,1,,99%
Lavender.Five Nodes,3,,2,0,1,,53%
LoomNode,1,,0,1,0,,36%
LuckyStar,4,,2,1,1,,99%
M256,1,,0,1,0,,98%
Meria,4,,2,1,1,,100%
MIPEnode,1,,0,1,0,,46%
Nansen | Stake to Stack Points,4,,2,1,1,,100%
navs,4,,2,1,1,,100%
NO FEE | Atlas Staking (Autocompound Rewards),1,,0,1,0,,100%
node101,4,,2,1,1,,100%
Node39,4,,2,1,1,,100%
NodesHub,4,,2,1,1,,100%
NodeStake,4,,2,1,1,,100%
Nodiums,1,,0,1,0,,99%
Oldcat - airdrop DHK every month,4,,2,1,1,,100%
OwlStake,4,,2,1,1,,100%
P2P.ORG - P2P Validator,1,,0,1,0,,99%
papadritta,0,,0,0,0,,0%
polkachu.com,4,,2,1,1,,100%
POSITIVA Ultra,4,,2,1,1,,98%
POSTHUMAN 🧬 StakeDrop,4,,2,1,1,,100%
PRO Delegators,4,,2,1,1,,100%
pro-nodes75,4,,2,1,1,,100%
Provalidator,4,,2,1,1,,100%
Quasar,4,,2,1,1,,98%
S16 Research Ventures,4,,2,1,1,,84%
ShapeShift DAO,4,,2,1,1,,100%
Silk Nodes,4,,2,1,1,,100%
Simply Staking,4,,2,1,1,,100%
Smart Stake 📈📊,4,,2,1,1,,100%
Snow Fall,4,,2,1,1,,100%
Sr20de,1,,0,1,0,,95%
stake.systems,4,,2,1,1,,100%
Stake&Relax 🦥,4,,2,1,1,,98%
Stakecito,4,,2,1,1,,100%
Stakeflow,4,,2,1,1,,100%
Stakely,4,,2,1,1,,100%
TerraBitcoin Club,4,,2,1,1,,100%
Tessellated,4,,2,1,1,,100%
The_Cybernetics,4,,2,1,1,,100%
TTT VN,4,,2,1,1,,92%
Ubik Capital,4,,2,1,1,,100%
Unity Nodes,4,,2,1,1,,100%
VALIDARIOS,4,,2,1,1,,100%
vido.info,4,,2,1,1,,100%
w3coins,0,,0,0,0,,21%
WeStaking,4,,2,1,1,,100%
WhisperNode,0,,0,0,0,,0%
Witval,4,,2,1,1,,100%
Ztake.org,4,,2,1,1,,100%
