"Last updated: February 18, 2025",Unjailing bonus and Neutron/Stride uptime qualification is not available yet for this period.,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Feb 4 - instantiate a multisig from your self-delegation address,Feb 11 - sign within 5 blocks of pion-1 upgrade,Feb 18 (1) - sign within 5 blocks of the v22.2.0 upgrade,Feb 18 (2) - vote YES on prop 245 for IBC client recovery
#decentralizehk - DHK dao,6,,2,1,1,1,1
🐹 Quokka Stake,6,,2,1,1,1,1
01node,6,,2,1,1,1,1
Alessandro Mazza,0,,0,0,0,0,0
Apeiron Nodes,2,,0,1,0,0,1
BlockHunters,3,,0,0,1,1,1
Blockpower,3,,0,0,1,1,1
blockscape,6,,2,1,1,1,1
Bro_n_Bro,6,,2,1,1,1,1
Citadel.one,6,,2,1,1,1,1
Citizen Web3,6,,2,1,1,1,1
Compass,3,,0,1,1,1,0
cosmosrescue,6,,2,1,1,1,1
Cosmostation,6,,2,1,1,1,1
Crouton Digital,6,,2,1,1,1,1
CrowdControl,6,,2,1,1,1,1
CryptoCrew Validators,0,,0,0,0,0,0
dForce,3,,0,0,1,1,1
DragonStake,6,,2,1,1,1,1
DSRV,3,,0,0,1,1,1
Easy 2 Stake,6,,2,1,1,1,1
ECO Stake 🌱,6,,2,1,1,1,1
Enigma,0,,0,0,0,0,0
Everstake,6,,2,1,1,1,1
Forbole,0,,0,0,0,0,0
"Frens  (🤝,🤝)",0,,0,0,0,0,0
HashQuark,6,,2,1,1,1,1
High Stakes,6,,2,1,1,1,1
Huginn,3,,0,1,0,1,1
Imperator.co,0,,0,0,0,0,0
Interstellar Lounge,6,,2,1,1,1,1
Irisnet,3,,0,1,0,1,1
#REF!,#REF!,,#REF!,#REF!,#REF!,#REF!,#REF!
KalpaTech,6,,2,1,1,1,1
Keplr (cosmoshub),2,,0,1,1,0,0
kjnodes.com 🦄,3,,0,0,1,1,1
KysenPool,0,,0,0,0,0,0
Lavender.Five Nodes,3,,0,0,1,1,1
node101,6,,2,1,1,1,1
NodeStake,6,,2,1,1,1,1
Oni ⛩️,2,,0,0,0,1,1
P2P.ORG - P2P Validator,2,,0,0,1,1,0
polkachu.com,2,,0,0,1,1,0
Provalidator,3,,0,0,1,1,1
Quasar,6,,2,1,1,1,1
Silk Nodes,6,,2,1,1,1,1
Simply Staking,6,,2,1,1,1,1
Smart Stake 📈📊,3,,0,0,1,1,1
stake.systems,6,,2,1,1,1,1
Stake&Relax 🦥,6,,2,1,1,1,1
Stakecito,6,,2,1,1,1,1
Stakeflow,6,,2,1,1,1,1
Stakely,6,,2,1,1,1,1
TerraBitcoin Club,6,,2,1,1,1,1
Tessellated,2,,0,0,0,1,1
Ubik Capital,2,,0,0,1,1,0
Virtual Hive,0,,0,0,0,0,0
w3coins,6,,2,1,1,1,1
WeStaking,6,,2,1,1,1,1
WhisperNode,6,,2,1,1,1,1
Witval,6,,2,1,1,1,1
Ztake.org,6,,2,1,1,1,1
