"Last updated: Feb 27, 2026",,,,,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,Feb 3 (1) - Create denom,Feb 3 (2) - Mint token,Feb 3 (3) - Burn token,Feb 24 - Sign within 5 blocks after the v27.0.0-rc0 upgrade ,,Provider uptime - must be >0.8 to qualify for this period
🐹 Quokka Stake,7,,2,1,1,1,1,1,,99%
01node,7,,2,1,1,1,1,1,,100%
Bit Cat🐱,2,,0,1,0,0,0,1,,34%
BlockHunters,7,,2,1,1,1,1,1,,100%
Blockpower,2,,0,1,0,0,0,1,,100%
blockscape,2,,0,1,0,0,0,1,,100%
Bro_n_Bro,3,,0,0,1,1,1,0,,0%
Chiter in Cosmos ⚛,2,,0,1,0,0,0,1,,14%
Citadel.one,7,,2,1,1,1,1,1,,99%
Citizen Web3,7,,2,1,1,1,1,1,,100%
Compass,6,,2,0,1,1,1,1,,91%
Cosmos Spaces,7,,2,1,1,1,1,1,,100%
cosmosrescue,7,,2,1,1,1,1,1,,100%
Cosmostation,2,,0,1,0,0,0,1,,100%
Crosnest,2,,0,1,0,0,0,1,,100%
Crouton Digital,4,,0,1,1,1,1,0,,100%
CrowdControl,4,,0,1,1,1,1,0,,100%
CryptoCrew Validators,7,,2,1,1,1,1,1,,98%
dForce,2,,0,1,0,0,0,1,,100%
DragonStake,7,,2,1,1,1,1,1,,100%
DELIGHT,2,,0,1,0,0,0,1,,100%
DSRV,2,,0,1,0,0,0,1,,100%
Easy 2 Stake,7,,2,1,1,1,1,1,,100%
ECO Stake 🌱,7,,2,1,1,1,1,1,,100%
Enigma,1,,0,1,0,0,0,0,,100%
Everstake,0,,0,0,0,0,0,0,,0%
Golden Ratio Staking,7,,2,1,1,1,1,1,,100%
HashQuark,7,,2,1,1,1,1,1,,100%
High Stakes,7,,2,1,1,1,1,1,,100%
Huginn,4,,0,1,1,1,1,0,,100%
Inter Blockchain Services,7,,2,1,1,1,1,1,,100%
Interstellar Lounge,7,,2,1,1,1,1,1,,100%
Irisnet,6,,2,0,1,1,1,1,,94%
ITRocket,7,,2,1,1,1,1,1,,100%
KalpaTech,7,,2,1,1,1,1,1,,100%
kjnodes.com 🦄,7,,2,1,1,1,1,1,,100%
Lavender.Five Nodes 🐝,0,,0,0,0,0,0,0,,0%
navs,7,,2,1,1,1,1,1,,100%
node101,2,,0,1,0,0,0,1,,100%
NodeStake,7,,2,1,1,1,1,1,,100%
NO FEE | Atlas Staking (Autocompound Rewards),7,,2,1,1,1,1,1,,100%
Oldcat - airdrop DHK every month,7,,2,1,1,1,1,1,,100%
papadritta,0,,0,0,0,0,0,0,,0%
polkachu.com,7,,2,1,1,1,1,1,,100%
pro-nodes75,7,,2,1,1,1,1,1,,100%
P2P.ORG - P2P Validator,1,,0,1,0,0,0,0,,100%
Provalidator,2,,0,1,0,0,0,1,,100%
POSTHUMAN 🧬 StakeDrop,1,,0,1,0,0,0,0,,100%
PRO Delegators,7,,2,1,1,1,1,1,,100%
Quasar,7,,2,1,1,1,1,1,,99%
ShapeShift DAO,2,,0,1,0,0,0,1,,100%
Silk Nodes,7,,2,1,1,1,1,1,,100%
Simply Staking,7,,2,1,1,1,1,1,,100%
Smart Stake 📈📊,7,,2,1,1,1,1,1,,100%
stake.systems,7,,2,1,1,1,1,1,,100%
Stake&Relax 🦥,7,,2,1,1,1,1,1,,100%
Stakecito,7,,2,1,1,1,1,1,,100%
Stakeflow,7,,2,1,1,1,1,1,,100%
Stakely,7,,2,1,1,1,1,1,,100%
TerraBitcoin Club,7,,2,1,1,1,1,1,,100%
Tessellated,2,,0,1,0,0,0,1,,100%
Ubik Capital,7,,2,1,1,1,1,1,,100%
w3coins,7,,2,1,1,1,1,1,,100%
WeStaking,4,,0,1,1,1,1,0,,99%
WhisperNode,0,,0,0,0,0,0,0,,0%
Witval,7,,2,1,1,1,1,1,,100%
Ztake.org,7,,2,1,1,1,1,1,,100%
