"Last updated: June 5, 2026",,,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,May 5 - Sign within 5 blocks after the v27.3.0-rc0 upgrade,May 26 - Sign within 5 blocks after the v27.4.0-rc0 upgrade,,Provider uptime - must be >0.8 to qualify for this period
🐹 Quokka Stake,5,,2,1,1,1,,100%
01node,5,,2,1,1,1,,100%
0base.vc,2,,0,1,0,1,,100%
Bit Cat🐱,5,,2,1,1,1,,100%
BlockHunters,1,,0,0,1,0,,0%
Blockpower,4,,2,0,1,1,,0%
blockscape,2,,0,1,1,0,,100%
Bro_n_Bro,5,,2,1,1,1,,85%
Chiter in Cosmos ⚛,5,,2,1,1,1,,99%
Citadel.one,1,,0,1,0,0,,100%
Citizen Web3,5,,2,1,1,1,,100%
Compass,5,,2,1,1,1,,100%
Cosmic Validator,0,,0,0,0,0,,52%
Cosmos Spaces,5,,2,1,1,1,,100%
cosmosrescue,5,,2,1,1,1,,99%
Cosmostation,5,,2,1,1,1,,100%
Crosnest,5,,2,1,1,1,,100%
Crouton Digital,5,,2,1,1,1,,100%
CrowdControl,1,,0,0,0,1,,95%
CryptoCrew Validators,5,,2,1,1,1,,100%
Cumulo,5,,2,1,1,1,,100%
Cypher Core,1,,0,1,0,0,,28%
Cypher Networks,1,,0,1,0,0,,1%
dForce,0,,0,0,0,0,,0%
DragonStake,5,,2,1,1,1,,100%
DELIGHT,5,,2,1,1,1,,100%
DSRV,4,,2,0,1,1,,96%
Easy 2 Stake,1,,0,1,0,0,,100%
ECO Stake 🌱,5,,2,1,1,1,,100%
Endorphine Stake,5,,2,1,1,1,,100%
Enigma,1,,0,0,1,0,,89%
EthicalNode,5,,2,1,1,1,,100%
Everstake,0,,0,0,0,0,,0%
Expedition,1,,0,1,0,0,,80%
GATA HUB,5,,2,1,1,1,,100%
Golden Ratio Staking,5,,2,1,1,1,,100%
HashQuark,4,,2,0,1,1,,97%
High Stakes,5,,2,1,1,1,,100%
Huginn,5,,2,1,1,1,,100%
Inter Blockchain Services,5,,2,1,1,1,,100%
Interstellar Lounge,5,,2,1,1,1,,100%
Irisnet,2,,0,1,0,1,,98%
ITRocket,5,,2,1,1,1,,100%
KalpaTech,5,,2,1,1,1,,100%
Keplr,2,,0,1,0,1,,31%
kjnodes.com 🦄,5,,2,1,1,1,,100%
Kleomedes,2,,0,1,0,1,,87%
Lavender.Five Nodes 🐝,0,,0,0,0,0,,0%
LuckyStar,2,,0,1,0,1,,45%
M256,1,,0,1,0,0,,17%
navs,5,,2,1,1,1,,100%
node101,5,,2,1,1,1,,100%
Nansen | Stake to Stack Points,5,,2,1,1,1,,100%
NodeStake,5,,2,1,1,1,,100%
NO FEE | Atlas Staking (Autocompound Rewards),0,,0,0,0,0,,97%
Oldcat - airdrop DHK every month,5,,2,1,1,1,,100%
papadritta,0,,0,0,0,0,,0%
polkachu.com,2,,0,1,1,0,,100%
pro-nodes75,5,,2,1,1,1,,100%
P2P.ORG - P2P Validator,5,,2,1,1,1,,100%
Provalidator,5,,2,1,1,1,,100%
POSTHUMAN 🧬 StakeDrop,5,,2,1,1,1,,100%
PRO Delegators,5,,2,1,1,1,,100%
Quasar,5,,2,1,1,1,,85%
ShapeShift DAO,1,,0,0,1,0,,0%
Silk Nodes,5,,2,1,1,1,,100%
Simply Staking,5,,2,1,1,1,,100%
Smart Stake 📈📊,5,,2,1,1,1,,100%
stake.systems,5,,2,1,1,1,,100%
Sr20de,0,,0,0,0,0,,83%
Stake&Relax 🦥,5,,2,1,1,1,,100%
Stakecito,5,,2,1,1,1,,100%
Stakeflow,5,,2,1,1,1,,100%
Stakely,5,,2,1,1,1,,100%
TerraBitcoin Club,5,,2,1,1,1,,100%
Tessellated,5,,2,1,1,1,,100%
The_Cybernetics,0,,0,0,0,0,,0%
Ubik Capital,5,,2,1,1,1,,100%
VALIDARIOS,1,,0,1,0,0,,99%
w3coins,5,,2,1,1,1,,100%
WeStaking,1,,0,1,0,0,,98%
WhisperNode,0,,0,0,0,0,,0%
Witval,5,,2,1,1,1,,100%
Ztake.org,5,,2,1,1,1,,100%
