"Last updated: March 5, 2025","February 2025 payouts will occur on ~March 12, 2025.",,,,,,,,,,,,
Moniker,Total points earned (including perfection and unjailed bonus),,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,Feb 4 - instantiate a multisig from your self-delegation address,Feb 11 - sign within 5 blocks of pion-1 upgrade,Feb 18 (1) - sign within 5 blocks of the v22.2.0 upgrade,Feb 18 (2) - vote YES on prop 245 for IBC client recovery,Feb 25 (1) - propose blocks on provider,Feb 25 (2) - propose blocks on pion-1,,Neutron uptime - must be >0.5 to qualify for TIP this period,Stride uptime - must be >0.5 to qualify for TIP this period
#decentralizehk - DHK dao,7,,2,1,1,1,1,1,1,1,,0.98,0.92
🐹 Quokka Stake,7,,2,1,1,1,1,1,1,1,,0.92,0.96
01node,7,,2,1,1,1,1,1,1,1,,1,1
Alessandro Mazza,0,,0,0,0,0,0,0,0,0,,0,0
Apeiron Nodes,2,,0,0,1,0,0,1,1,1,,0.4,0.3
BlockHunters,4,,0,1,0,1,1,1,1,1,,1,0.97
Blockpower,4,,0,1,0,1,1,1,1,0,,0.99,0.92
blockscape,7,,2,1,1,1,1,1,1,1,,1,1
Bro_n_Bro,7,,2,1,1,1,1,1,1,1,,0.98,1
Citadel.one,7,,2,1,1,1,1,1,1,1,,1,0.99
Citizen Web3,7,,2,1,1,1,1,1,1,1,,1,0.95
Compass,4,,0,1,1,1,1,0,1,1,,0.98,0.96
cosmosrescue,6,,2,0,1,1,1,1,1,1,,0.98,0.96
Cosmostation,5,,0,1,1,1,1,1,1,0,,1,1
Crouton Digital,7,,2,1,1,1,1,1,1,1,,1,0.95
CrowdControl,7,,2,1,1,1,1,1,1,1,,1,0.98
CryptoCrew Validators,0,,0,0,0,0,0,0,0,0,,1,0.98
dForce,4,,0,1,0,1,1,1,1,1,,0.99,0.99
DragonStake,7,,2,1,1,1,1,1,1,1,,0.99,1
DSRV,3,,0,0,0,1,1,1,1,1,,1,1
Easy 2 Stake,7,,2,1,1,1,1,1,1,1,,1,0.98
ECO Stake 🌱,7,,2,1,1,1,1,1,1,1,,1,1
Enigma,1,,0,1,0,0,0,0,1,1,,0.99,1
Everstake,7,,2,1,1,1,1,1,1,1,,1,1
Forbole,0,,0,0,0,0,0,0,0,0,,1,1
"Frens  (🤝,🤝)",0,,0,0,0,0,0,0,0,0,,0.99,1
HashQuark,6,,2,0,1,1,1,1,1,1,,0.99,0.96
High Stakes,7,,2,1,1,1,1,1,1,1,,1,1
Huginn,4,,0,1,1,0,1,1,1,1,,1,1
Imperator.co,0,,0,0,0,0,0,0,0,0,,1,0.92
Interstellar Lounge,7,,2,1,1,1,1,1,1,1,,0.99,0.99
Irisnet,3,,0,0,1,0,1,1,1,0,,1,0.95
KalpaTech,6,,2,1,1,1,1,0,1,0,,1,1
Keplr (cosmoshub),4,,0,1,1,1,0,1,1,1,,1,0.99
kjnodes.com 🦄,3,,0,1,0,1,1,0,0,0,,0.96,0.99
KysenPool,1,,0,0,0,0,0,1,1,1,,0,0
Lavender.Five Nodes,4,,0,1,0,1,1,1,1,1,,1,1
node101,7,,2,1,1,1,1,1,1,1,,1,0.98
NodeStake,7,,2,1,1,1,1,1,1,1,,0.99,0.99
Oni ⛩️,2,,0,1,0,0,1,0,1,0,,1,1
P2P.ORG - P2P Validator,3,,0,1,0,1,1,0,1,0,,1,0.98
polkachu.com,4,,0,1,0,1,1,1,1,0,,1,1
Provalidator,4,,0,1,0,1,1,1,1,0,,0.99,1
Quasar,5,,0,1,1,1,1,1,1,1,,1,0.99
Silk Nodes,7,,2,1,1,1,1,1,1,1,,1,0.96
Simply Staking,7,,2,1,1,1,1,1,1,0,,0.99,0.97
Smart Stake 📈📊,4,,0,1,0,1,1,1,1,1,,1,1
stake.systems,7,,2,1,1,1,1,1,1,1,,1,0.99
Stake&Relax 🦥,7,,2,1,1,1,1,1,1,1,,1,0.99
Stakecito,7,,2,1,1,1,1,1,1,1,,1,0.99
Stakeflow,7,,2,1,1,1,1,1,1,1,,1,0.98
Stakely,7,,2,1,1,1,1,1,1,1,,1,0.95
TerraBitcoin Club,7,,2,1,1,1,1,1,1,1,,0.99,0.99
Tessellated,2,,0,1,0,0,1,0,1,1,,0.94,0.91
Ubik Capital,3,,0,1,0,1,1,0,0,0,,1,0.98
Virtual Hive,1,,0,0,0,0,0,1,1,1,,#N/A,#N/A
w3coins,7,,2,1,1,1,1,1,1,1,,0.84,0.97
WeStaking,7,,2,1,1,1,1,1,1,1,,1,0.96
WhisperNode,7,,2,1,1,1,1,1,1,1,,0.99,0.96
Witval,7,,2,1,1,1,1,1,1,1,,1,0.91
Ztake.org,6,,2,1,1,1,1,0,0,0,,0,0
Golden Ratio Staking,1,,0,,0,0,0,0,0,0,,1,1
Cosmos Spaces,1,,0,,0,0,0,0,0,0,,1,0.98
