"Last updated: February 3, 2025",January 2025 is now complete and end-of-period unjailing and consumer chain signing rates are now available.,,,,,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,Jan 14 - sign within 5 blocks of v22 upgrade,Jan 21 - sign within 5 blocks of pion-1 upgrade,Jan 28 (1) - delegate at least 1 ATOM to the sleepy validator,Jan 28 (2) - opt-in to test-priority-1,,Neutron uptime - must be >0.5 to qualify for TIP this period,Stride uptime - must be >0.5 to qualify for TIP this period
#decentralizehk - DHK dao,1,,0,0,1,0,0,0,,0.92,0.93
🐹 Quokka Stake,7,,2,1,1,1,1,1,,1,0.95
01node,7,,2,1,1,1,1,1,,1,0.99
Alessandro Mazza,0,,0,0,0,0,0,0,,0,0
Apeiron Nodes,3,,0,0,1,0,1,1,,0.41,0.42
BlockHunters,2,,0,0,1,1,0,0,,0.99,0.94
Blockpower,7,,2,1,1,1,1,1,,1,0.95
blockscape,4,,0,1,1,0,1,1,,1,1
Bro_n_Bro,6,,2,0,1,1,1,1,,1,0.98
Citadel.one,4,,0,1,0,1,1,1,,1,0.97
Citizen Web3,7,,2,1,1,1,1,1,,1,0.95
Compass,7,,2,1,1,1,1,1,,1,0.95
cosmosrescue,7,,2,1,1,1,1,1,,0.99,0.99
Cosmostation,7,,2,1,1,1,1,1,,1,1
Crouton Digital,7,,2,1,1,1,1,1,,1,0.97
CrowdControl,7,,2,1,1,1,1,1,,1,0.96
CryptoCrew Validators,0,,0,0,0,0,0,0,,1,0.94
dForce,7,,2,1,1,1,1,1,,0.98,0.91
DragonStake,7,,2,1,1,1,1,1,,1,1
DSRV,7,,2,1,1,1,1,1,,1,0.97
Easy 2 Stake,7,,2,1,1,1,1,1,,0.99,0.98
ECO Stake 🌱,7,,2,1,1,1,1,1,,1,1
Enigma,2,,0,1,0,1,0,0,,1,1
Everstake,7,,2,1,1,1,1,1,,1,0.99
Forbole,0,,0,0,0,0,0,0,,0.99,1
"Frens  (🤝,🤝)",0,,0,0,0,0,0,0,,1,1
HashQuark,7,,2,1,1,1,1,1,,1,0.95
High Stakes,7,,2,1,1,1,1,1,,1,0.98
Huginn,3,,0,1,0,0,1,1,,0.96,1
Imperator.co,0,,0,0,0,0,0,0,,1,0.98
Interstellar Lounge,7,,2,1,1,1,1,1,,1,0.99
Irisnet,3,,0,1,0,0,1,1,,1,0.95
ITRocket,2,,0,1,1,0,0,0,,#N/A,#N/A
KalpaTech,7,,2,1,1,1,1,1,,1,1
Keplr (cosmoshub),7,,2,1,1,1,1,1,,1,0.99
kjnodes.com 🦄,4,,0,1,1,0,1,1,,0,0
KysenPool,0,,0,0,0,0,0,0,,0,0
Lavender.Five Nodes,7,,2,1,1,1,1,1,,1,1
node101,7,,2,1,1,1,1,1,,1,0.97
NodeStake,4,,0,1,1,0,1,1,,0.99,1
Oni ⛩️,1,,0,1,0,0,0,0,,1,0.99
P2P.ORG - P2P Validator,2,,0,1,0,1,0,0,,1,0.98
polkachu.com,3,,0,1,1,1,0,0,,1,1
Provalidator,7,,2,1,1,1,1,1,,1,0.99
Quasar,4,,0,1,0,1,1,1,,0.67,0.69
Silk Nodes,7,,2,1,1,1,1,1,,1,0.95
Simply Staking,7,,2,1,1,1,1,1,,1,0.99
Smart Stake 📈📊,4,,0,1,0,1,1,1,,1,1
stake.systems,4,,0,1,0,1,1,1,,1,1
Stake&Relax 🦥,7,,2,1,1,1,1,1,,1,0.97
Stakecito,7,,2,1,1,1,1,1,,1,1
Stakeflow,7,,2,1,1,1,1,1,,1,0.96
Stakely,7,,2,1,1,1,1,1,,1,0.99
TerraBitcoin Club,3,,0,1,0,0,1,1,,1,0.95
Tessellated,0,,0,0,0,0,0,0,,0.97,0.92
Ubik Capital,4,,0,1,1,1,1,0,,1,0.99
Virtual Hive,0,,0,0,0,0,0,0,,#N/A,#N/A
w3coins,7,,2,1,1,1,1,1,,0.84,0.97
WeStaking,7,,2,1,1,1,1,1,,0.99,0.91
WhisperNode,7,,2,1,1,1,1,1,,0.99,0.9
Witval,7,,2,1,1,1,1,1,,0.8,0.86
Ztake.org,4,,0,1,0,1,1,1,,0,0
