"Last updated: July 7, 2026",,,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,Jun 23 (1) - Sign within 5 blocks after the v27.5.0-rc0 upgrade,Jun 23 (2) - Vote on proposal 319,,Provider uptime - must be >0.8 to qualify for this period
🐹 Quokka Stake,5,,2,1,1,1,,100%
01node,5,,2,1,1,1,,100%
0base.vc,1,,0,1,0,0,,99%
Bit Cat🐱,2,,0,1,1,0,,100%
BlockHunters,0,,0,0,0,0,,0%
Blockpower,0,,0,0,0,0,,0%
blockscape,2,,0,1,1,0,,100%
Bro_n_Bro,2,,0,1,1,0,,100%
Chiter in Cosmos ⚛,5,,2,1,1,1,,99%
Citadel.one,2,,0,1,1,0,,100%
Citizen Web3,5,,2,1,1,1,,99%
Coinage x DAIC,5,,2,1,1,1,,64%
Compass,1,,0,1,0,0,,98%
Cosmic Validator,1,,0,1,0,0,,100%
Cosmos Spaces,5,,2,1,1,1,,100%
CosmosAf,0,,0,0,0,0,,0%
cosmosrescue,5,,2,1,1,1,,99%
Cosmostation,1,,0,1,0,0,,98%
Crosnest,2,,0,1,1,0,,100%
Crouton Digital,5,,2,1,1,1,,100%
CrowdControl,5,,2,1,1,1,,100%
CryptoCrew Validators,5,,2,1,1,1,,100%
Cumulo,5,,2,1,1,1,,100%
Cypher Core,2,,0,1,1,0,,100%
Cypher Networks,5,,2,1,1,1,,100%
dForce,0,,0,0,0,0,,0%
DragonStake,0,,0,0,0,0,,0%
DELIGHT,2,,0,1,1,0,,100%
DSRV,4,,2,0,1,1,,96%
Easy 2 Stake,1,,0,1,0,0,,98%
ECO Stake 🌱,5,,2,1,1,1,,100%
Endorphine Stake,2,,0,1,0,1,,100%
Enigma,1,,0,1,0,0,,100%
EthicalNode,5,,2,1,1,1,,100%
Everstake,2,,0,1,1,0,,93%
Expedition,2,,0,1,1,0,,100%
GATA HUB,1,,0,1,0,0,,100%
Golden Ratio Staking,5,,2,1,1,1,,100%
HashQuark,2,,0,1,1,0,,100%
Helios Stake,0,,0,0,0,0,,54%
High Stakes,5,,2,1,1,1,,100%
Huginn,2,,0,1,0,1,,100%
IcyCRO.org,5,,2,1,1,1,,51%
Inter Blockchain Services,2,,0,1,1,0,,100%
Interstellar Lounge,5,,2,1,1,1,,100%
Irisnet,5,,2,1,1,1,,100%
ITRocket,5,,2,1,1,1,,100%
JohnWiard,2,,0,1,1,0,,84%
KalpaTech,2,,0,1,1,0,,100%
Keplr,5,,2,1,1,1,,100%
kjnodes.com 🦄,2,,0,1,1,0,,100%
Kleomedes,5,,2,1,1,1,,98%
Lavender.Five Nodes,0,,0,0,0,0,,0%
LuckyStar,5,,2,1,1,1,,100%
M256,5,,2,1,1,1,,100%
Meria,5,,2,1,1,1,,100%
navs,5,,2,1,1,1,,100%
node101,5,,2,1,1,1,,100%
Nansen | Stake to Stack Points,5,,2,1,1,1,,100%
NodeStake,5,,2,1,1,1,,100%
NO FEE | Atlas Staking (Autocompound Rewards),5,,2,1,1,1,,100%
Oldcat - airdrop DHK every month,5,,2,1,1,1,,100%
OwlStake,2,,0,1,0,1,,59%
papadritta,0,,0,0,0,0,,0%
polkachu.com,5,,2,1,1,1,,100%
pro-nodes75,5,,2,1,1,1,,100%
P2P.ORG - P2P Validator,1,,0,1,0,0,,100%
Provalidator,5,,2,1,1,1,,100%
POSITIVA Ultra,5,,2,1,1,1,,66%
POSTHUMAN 🧬 StakeDrop,2,,0,1,1,0,,100%
PRO Delegators,5,,2,1,1,1,,100%
Quasar,2,,0,1,0,1,,100%
S16 Research Ventures,4,,2,0,1,1,,87%
ShapeShift DAO,2,,0,1,1,0,,41%
Silk Nodes,5,,2,1,1,1,,100%
Simply Staking,5,,2,1,1,1,,100%
Smart Stake 📈📊,2,,0,1,1,0,,100%
stake.systems,5,,2,1,1,1,,100%
Snow Fall,2,,0,1,1,0,,51%
Sr20de,5,,2,1,1,1,,97%
Stake&Relax 🦥,5,,2,1,1,1,,100%
Stakecito,5,,2,1,1,1,,100%
Stakeflow,5,,2,1,1,1,,100%
Stakely,2,,0,1,0,1,,100%
TerraBitcoin Club,5,,2,1,1,1,,100%
Tessellated,5,,2,1,1,1,,100%
The_Cybernetics,5,,2,1,1,1,,95%
Ubik Capital,2,,0,1,1,0,,100%
Unity Nodes,1,,0,1,0,0,,20%
VALIDARIOS,2,,0,1,1,0,,100%
vido.info,1,,0,1,0,0,,17%
w3coins,5,,2,1,1,1,,100%
WeStaking,5,,2,1,1,1,,100%
WhisperNode,0,,0,0,0,0,,0%
Witval,2,,0,1,1,0,,100%
Ztake.org,2,,0,1,1,0,,100%
