"Last updated: Apr 1, 2026",,,,,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,Mar 17 - Sign within 5 blocks after the v27.1.0-rc0 upgrade,Mar 31 - Submit multi-send transaction,,,,Provider uptime - must be >0.8 to qualify for this period
🐹 Quokka Stake,5,,2,1,1,1,,,,100%
01node,5,,2,1,1,1,,,,100%
0base.vc,2,,0,1,0,1,,,,45%
Bit Cat🐱,1,,0,1,0,0,,,,99%
BlockHunters,5,,2,1,1,1,,,,100%
Blockpower,5,,2,1,1,1,,,,100%
blockscape,5,,2,1,1,1,,,,100%
Bro_n_Bro,0,,0,0,0,0,,,,0%
Chiter in Cosmos ⚛,5,,2,1,1,1,,,,99%
Citadel.one,2,,0,1,1,0,,,,100%
Citizen Web3,5,,2,1,1,1,,,,100%
Compass,2,,0,1,0,1,,,,98%
Cosmos Spaces,5,,2,1,1,1,,,,100%
cosmosrescue,5,,2,1,1,1,,,,100%
Cosmostation,2,,0,1,1,0,,,,100%
Crosnest,1,,0,1,0,0,,,,100%
Crouton Digital,5,,2,1,1,1,,,,100%
CrowdControl,5,,2,1,1,1,,,,100%
CryptoCrew Validators,2,,0,1,1,0,,,,100%
Cumulo,5,,2,1,1,1,,,,100%
dForce,5,,2,1,1,1,,,,100%
DragonStake,2,,0,1,1,0,,,,100%
DELIGHT,2,,0,1,1,0,,,,100%
DSRV,4,,2,0,1,1,,,,84%
Easy 2 Stake,0,,0,0,0,0,,,,97%
ECO Stake 🌱,5,,2,1,1,1,,,,100%
Endorphine Stake,2,,0,1,1,0,,,,100%
Enigma,2,,0,1,1,0,,,,100%
EthicalNode,5,,2,1,1,1,,,,49%
Everstake,0,,0,0,0,0,,,,0%
Golden Ratio Staking,5,,2,1,1,1,,,,100%
HashQuark,5,,2,1,1,1,,,,100%
High Stakes,5,,2,1,1,1,,,,100%
Huginn,2,,0,1,0,1,,,,100%
Inter Blockchain Services,5,,2,1,1,1,,,,100%
Interstellar Lounge,5,,2,1,1,1,,,,100%
Irisnet,1,,0,0,0,1,,,,0%
ITRocket,5,,2,1,1,1,,,,100%
KalpaTech,5,,2,1,1,1,,,,100%
kjnodes.com 🦄,5,,2,1,1,1,,,,100%
Lavender.Five Nodes 🐝,0,,0,0,0,0,,,,0%
navs,5,,2,1,1,1,,,,100%
node101,5,,2,1,1,1,,,,100%
Nansen | Stake to Stack Points,2,,0,1,0,1,,,,100%
NodeStake,5,,2,1,1,1,,,,100%
NO FEE | Atlas Staking (Autocompound Rewards),1,,0,1,0,0,,,,99%
Oldcat - airdrop DHK every month,5,,2,1,1,1,,,,100%
papadritta,0,,0,0,0,0,,,,0%
polkachu.com,5,,2,1,1,1,,,,100%
pro-nodes75,5,,2,1,1,1,,,,100%
P2P.ORG - P2P Validator,1,,0,1,0,0,,,,100%
Provalidator,5,,2,1,1,1,,,,100%
POSTHUMAN 🧬 StakeDrop,2,,0,1,1,0,,,,100%
PRO Delegators,5,,2,1,1,1,,,,100%
Quasar,5,,2,1,1,1,,,,99%
ShapeShift DAO,2,,0,1,1,0,,,,100%
Silk Nodes,5,,2,1,1,1,,,,100%
Simply Staking,5,,2,1,1,1,,,,100%
Smart Stake 📈📊,2,,0,1,1,0,,,,100%
stake.systems,5,,2,1,1,1,,,,100%
Sr20de,0,,0,0,0,0,,,,69%
Stake&Relax 🦥,5,,2,1,1,1,,,,100%
Stakecito,5,,2,1,1,1,,,,100%
Stakeflow,5,,2,1,1,1,,,,100%
Stakely,5,,2,1,1,1,,,,100%
TerraBitcoin Club,5,,2,1,1,1,,,,100%
Tessellated,5,,2,1,1,1,,,,100%
Ubik Capital,2,,0,1,1,0,,,,100%
w3coins,5,,2,1,1,1,,,,100%
WeStaking,2,,0,1,1,0,,,,100%
WhisperNode,0,,0,0,0,0,,,,0%
Witval,5,,2,1,1,1,,,,100%
Ztake.org,2,,0,1,1,0,,,,100%
