"Last updated: June 4, 2025","May 2025 payouts will occur on ~June 9, 2025.",,,,,,,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,May 13 - Sign within 5 blocks after the v23.3.0 upgrade,May 20 - Sign within 5 blocks after the v24.0.0-rc0 upgrade,May 27 - Sign between blocks 12039640 and 12039650,,,,,,Stride uptime - must be >0.5 to qualify for TIP this period
Oldcat - airdrop DHK every month,6,,2,1,1,1,1,,,,,,0.966
🐹 Quokka Stake,6,,2,1,1,1,1,,,,,,0.933
01node,6,,2,1,1,1,1,,,,,,0.996
Alessandro Mazza,1,,0,1,0,0,0,,,,,,0
Apeiron Nodes,0,,0,0,0,0,0,,,,,,0.8
BlockHunters🎯,3,,0,1,1,1,0,,,,,,0.989
Blockpower,6,,2,1,1,1,1,,,,,,1
blockscape,6,,2,1,1,1,1,,,,,,0.999
Bro_n_Bro,6,,2,1,1,1,1,,,,,,0.94
Citadel.one,6,,2,1,1,1,1,,,,,,0.966
Citizen Web3,6,,2,1,1,1,1,,,,,,0.972
Compass,6,,2,1,1,1,1,,,,,,0.987
Cosmos Spaces,6,,2,1,1,1,1,,,,,,0.991
cosmosrescue,6,,2,1,1,1,1,,,,,,0.984
Cosmostation,6,,2,1,1,1,1,,,,,,1
Crouton Digital,6,,2,1,1,1,1,,,,,,0.994
CrowdControl,6,,2,1,1,1,1,,,,,,0.973
CryptoCrew Validators,1,,0,1,0,0,0,,,,,,0.997
dForce,6,,2,1,1,1,1,,,,,,0.984
DragonStake,6,,2,1,1,1,1,,,,,,0.997
DSRV,6,,2,1,1,1,1,,,,,,0.936
Easy 2 Stake,2,,0,0,0,1,1,,,,,,0.987
ECO Stake 🌱,6,,2,1,1,1,1,,,,,,0.999
Enigma,3,,0,1,1,0,1,,,,,,1
Everstake,6,,2,1,1,1,1,,,,,,0.993
Forbole,1,,0,1,0,0,0,,,,,,0.999
"Frens  (🤝,🤝)",1,,0,1,0,0,0,,,,,,0.994
Golden Ratio Staking,6,,2,1,1,1,1,,,,,,0.982
HashQuark,6,,2,1,1,1,1,,,,,,0.967
High Stakes,6,,2,1,1,1,1,,,,,,0.994
Huginn,6,,2,1,1,1,1,,,,,,0.999
Imperator.co,1,,0,1,0,0,0,,,,,,0.992
Interstellar Lounge,6,,2,1,1,1,1,,,,,,0.99
Irisnet,5,,2,0,1,1,1,,,,,,0.796
KalpaTech,3,,0,1,1,1,0,,,,,,1
Keplr (cosmoshub),6,,2,1,1,1,1,,,,,,0.988
kjnodes.com 🦄,6,,2,1,1,1,1,,,,,,0.88
KysenPool,1,,0,1,0,0,0,,,,,,0
Lavender.Five Nodes,3,,0,1,1,1,0,,,,,,0.999
node101,6,,2,1,1,1,1,,,,,,0.992
NodeStake,6,,2,1,1,1,1,,,,,,0.998
Oni ⛩️,6,,2,1,1,1,1,,,,,,0.964
P2P.ORG - P2P Validator,6,,2,1,1,1,1,,,,,,0.975
polkachu.com,6,,2,1,1,1,1,,,,,,0.995
Provalidator,6,,2,1,1,1,1,,,,,,0.99
Quasar,6,,2,1,1,1,1,,,,,,0.931
Silk Nodes,6,,2,1,1,1,1,,,,,,0.964
Simply Staking,6,,2,1,1,1,1,,,,,,0.982
Smart Stake 📈📊,3,,0,1,1,1,0,,,,,,1
stake.systems,6,,2,1,1,1,1,,,,,,0.999
Stake&Relax 🦥,3,,0,1,1,1,0,,,,,,0.988
Stakecito,3,,0,1,1,1,0,,,,,,0.999
Stakeflow,6,,2,1,1,1,1,,,,,,0.991
Stakely,6,,2,1,1,1,1,,,,,,0.976
TerraBitcoin Club,6,,2,1,1,1,1,,,,,,0.989
Tessellated,2,,0,1,0,0,1,,,,,,0.965
Ubik Capital,6,,2,1,1,1,1,,,,,,0.997
Virtual Hive,1,,0,1,0,0,0,,,,,,#N/A
w3coins,6,,2,1,1,1,1,,,,,,0.994
WeStaking,6,,2,1,1,1,1,,,,,,0.944
WhisperNode,6,,2,1,1,1,1,,,,,,0
Witval,6,,2,1,1,1,1,,,,,,0.917
Ztake.org,6,,2,1,1,1,1,,,,,,0
