"Last updated: May 29, 2026",,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),May 5 - Sign within 5 blocks after the v27.3.0-rc0 upgrade,May 26 - Sign within 5 blocks after the v27.4.0-rc0 upgrade
🐹 Quokka Stake,4,,2,1,1
01node,4,,2,1,1
0base.vc,1,,0,0,1
Bit Cat🐱,4,,2,1,1
BlockHunters,1,,0,1,0
Blockpower,4,,2,1,1
blockscape,1,,0,1,0
Bro_n_Bro,4,,2,1,1
Chiter in Cosmos ⚛,4,,2,1,1
Citadel.one,0,,0,0,0
Citizen Web3,4,,2,1,1
Compass,4,,2,1,1
Cosmic Validator,0,,0,0,0
Cosmos Spaces,4,,2,1,1
cosmosrescue,4,,2,1,1
Cosmostation,4,,2,1,1
Crosnest,4,,2,1,1
Crouton Digital,4,,2,1,1
CrowdControl,1,,0,0,1
CryptoCrew Validators,4,,2,1,1
Cumulo,4,,2,1,1
Cypher Core,0,,0,0,0
dForce,0,,0,0,0
DragonStake,4,,2,1,1
DELIGHT,4,,2,1,1
DSRV,4,,2,1,1
Easy 2 Stake,0,,0,0,0
ECO Stake 🌱,4,,2,1,1
Endorphine Stake,4,,2,1,1
Enigma,1,,0,1,0
EthicalNode,4,,2,1,1
Everstake,0,,0,0,0
Expedition,0,,0,0,0
GATA HUB,4,,2,1,1
Golden Ratio Staking,4,,2,1,1
HashQuark,4,,2,1,1
High Stakes,4,,2,1,1
Huginn,4,,2,1,1
Inter Blockchain Services,4,,2,1,1
Interstellar Lounge,4,,2,1,1
Irisnet,1,,0,0,1
ITRocket,4,,2,1,1
KalpaTech,4,,2,1,1
Keplr,1,,0,0,1
kjnodes.com 🦄,4,,2,1,1
Kleomedes,1,,0,0,1
Lavender.Five Nodes 🐝,0,,0,0,0
LuckyStar,1,,0,0,1
navs,4,,2,1,1
node101,4,,2,1,1
Nansen | Stake to Stack Points,4,,2,1,1
NodeStake,4,,2,1,1
NO FEE | Atlas Staking (Autocompound Rewards),0,,0,0,0
Oldcat - airdrop DHK every month,4,,2,1,1
papadritta,0,,0,0,0
polkachu.com,1,,0,1,0
pro-nodes75,4,,2,1,1
P2P.ORG - P2P Validator,4,,2,1,1
Provalidator,4,,2,1,1
POSTHUMAN 🧬 StakeDrop,4,,2,1,1
PRO Delegators,4,,2,1,1
Quasar,4,,2,1,1
ShapeShift DAO,1,,0,1,0
Silk Nodes,4,,2,1,1
Simply Staking,4,,2,1,1
Smart Stake 📈📊,4,,2,1,1
stake.systems,4,,2,1,1
Sr20de,0,,0,0,0
Stake&Relax 🦥,4,,2,1,1
Stakecito,4,,2,1,1
Stakeflow,4,,2,1,1
Stakely,4,,2,1,1
TerraBitcoin Club,4,,2,1,1
Tessellated,4,,2,1,1
Ubik Capital,4,,2,1,1
VALIDARIOS,0,,0,0,0
w3coins,4,,2,1,1
WeStaking,0,,0,0,0
WhisperNode,0,,0,0,0
Witval,4,,2,1,1
Ztake.org,4,,2,1,1
