"Last updated: October 2, 2025","September 2025 payouts will occur on ~October 8, 2025.",,,,,,,,
Moniker,Total points earned,,Perfection bonus - completing all tasks perfectly this period (so far),Unjailed bonus - remain unjailed for the entire period,Sep 9 (1) - Store contract,Sep 9 (2) - Execute pixel battle contract,,Provider uptime - must be >0.8 to qualify for TIP this period,Hub uptime - must be >0.8 to qualify for TIP this period
Oldcat - airdrop DHK every month,5,,2,1,1,1,,91%,99%
🐹 Quokka Stake,5,,2,1,1,1,,100%,100%
01node,5,,2,1,1,1,,100%,100%
Alessandro Mazza,1,,0,1,0,0,,0%,100%
Apeiron Nodes,1,,0,1,0,0,,0%,86%
BlockHunters,5,,2,1,1,1,,100%,100%
Blockpower,1,,0,1,0,0,,100%,100%
blockscape,5,,2,1,1,1,,100%,100%
Bro_n_Bro,0,,0,0,0,0,,0%,100%
Citadel.one,1,,0,1,0,0,,99%,100%
Citizen Web3,5,,2,1,1,1,,100%,100%
Compass,2,,0,1,1,0,,100%,100%
Cosmos Spaces,5,,2,1,1,1,,100%,100%
cosmosrescue,5,,2,1,1,1,,100%,100%
Cosmostation,1,,0,1,0,0,,100%,100%
Crouton Digital,5,,2,1,1,1,,100%,100%
CrowdControl,5,,2,1,1,1,,100%,100%
CryptoCrew Validators,1,,0,1,0,0,,100%,100%
dForce,1,,0,1,0,0,,100%,100%
DragonStake,5,,2,1,1,1,,100%,100%
DSRV,1,,0,1,0,0,,100%,100%
Easy 2 Stake,5,,2,1,1,1,,99%,100%
ECO Stake 🌱,5,,2,1,1,1,,100%,100%
Enigma,1,,0,1,0,0,,100%,100%
Everstake,1,,0,1,0,0,,100%,100%
Forbole,1,,0,1,0,0,,0%,100%
"Frens  (🤝,🤝)",1,,0,1,0,0,,0%,100%
Golden Ratio Staking,1,,0,1,0,0,,100%,100%
HashQuark,5,,2,1,1,1,,100%,100%
High Stakes,5,,2,1,1,1,,100%,100%
Huginn,5,,2,1,1,1,,100%,100%
Imperator.co,1,,0,1,0,0,,0%,100%
Inter Blockchain Services,5,,2,1,1,1,,100%,0%
Interstellar Lounge,5,,2,1,1,1,,100%,100%
Irisnet,5,,2,1,1,1,,100%,100%
KalpaTech,5,,2,1,1,1,,94%,100%
Keplr (cosmoshub),1,,0,1,0,0,,0%,100%
kjnodes.com 🦄,1,,0,1,0,0,,100%,100%
KysenPool,1,,0,1,0,0,,0%,100%
Lavender.Five Nodes 🐝,1,,0,1,0,0,,100%,100%
node101,5,,2,1,1,1,,100%,100%
NodeStake,1,,0,1,0,0,,100%,100%
Oni ⛩️,1,,0,1,0,0,,100%,100%
P2P.ORG - P2P Validator,1,,0,1,0,0,,100%,100%
polkachu.com,1,,0,1,0,0,,100%,100%
Provalidator,5,,2,1,1,1,,100%,100%
Quasar,1,,0,1,0,0,,99%,100%
Silk Nodes,5,,2,1,1,1,,100%,100%
Simply Staking,5,,2,1,1,1,,100%,100%
Smart Stake 📈📊,2,,0,1,1,0,,100%,100%
stake.systems,1,,0,1,0,0,,100%,100%
Stake&Relax 🦥,5,,2,1,1,1,,100%,100%
Stakecito,1,,0,1,0,0,,100%,100%
Stakeflow,5,,2,1,1,1,,100%,100%
Stakely,5,,2,1,1,1,,100%,100%
TerraBitcoin Club,5,,2,1,1,1,,100%,100%
Tessellated,1,,0,1,0,0,,99%,100%
Ubik Capital,1,,0,1,0,0,,100%,100%
Virtual Hive,1,,0,1,0,0,,0%,0%
w3coins,5,,2,1,1,1,,100%,100%
WeStaking,5,,2,1,1,1,,100%,99%
WhisperNode,1,,0,1,0,0,,100%,100%
Witval,5,,2,1,1,1,,100%,100%
Ztake.org,5,,2,1,1,1,,100%,100%
NO FEE | Atlas Staking (Autocompound Rewards),1,,0,1,0,0,,0%,97%
Crosnest,1,,0,1,0,0,,32%,100%
pro-nodes75,1,,0,1,0,0,,26%,0%
DELIGHT,1,,0,1,0,0,,26%,0%
